name,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23
New Hampshire,46.833333333333336,47.375,50.041666666666664,62.75,65.0,66.0,72.83333333333333,80.20833333333333,42.791666666666664,52.125,53.0,59.083333333333336,63.958333333333336,63.5,46.208333333333336,68.33333333333333,38.416666666666664,33.333333333333336,46.333333333333336,54.791666666666664,51.583333333333336,54.416666666666664,82.04166666666667,40.458333333333336,31.791666666666668,40.708333333333336,73.83333333333333,45.458333333333336,73.41666666666667,87.5,42.791666666666664,33.75,64.08333333333333
New Jersey,46.5,44.833333333333336,35.125,34.041666666666664,45.25,78.5,94.83333333333333,70.04166666666667,46.583333333333336,45.041666666666664,45.208333333333336,52.125,75.125,57.291666666666664,45.666666666666664,79.25,62.75,40.416666666666664,38.625,54.208333333333336,55.375,60.208333333333336,81.66666666666667,31.0,51.583333333333336,45.75,78.66666666666667,57.25,83.83333333333333,84.66666666666667,48.583333333333336,42.708333333333336,82.45833333333333
New Mexico,69.625,72.20833333333333,70.41666666666667,88.58333333333333,69.29166666666667,33.791666666666664,53.625,39.625,38.375,39.75,34.541666666666664,49.625,37.166666666666664,42.083333333333336,27.958333333333332,37.833333333333336,49.958333333333336,50.041666666666664,68.58333333333333,48.458333333333336,57.458333333333336,70.08333333333333,75.66666666666667,67.29166666666667,55.458333333333336,64.29166666666667,38.0,58.083333333333336,69.41666666666667,63.833333333333336,73.95833333333333,65.70833333333333,42.541666666666664
North Carolina,81.41666666666667,79.0,71.875,58.75,56.958333333333336,91.83333333333333,91.41666666666667,50.25,47.833333333333336,55.583333333333336,41.666666666666664,44.958333333333336,80.29166666666667,67.25,64.25,69.375,43.666666666666664,53.416666666666664,50.416666666666664,69.33333333333333,73.04166666666667,80.58333333333333,74.66666666666667,34.166666666666664,52.208333333333336,63.958333333333336,73.0,82.04166666666667,76.70833333333333,65.08333333333333,70.70833333333333,72.625,85.375
North Dakota,69.25,60.458333333333336,70.16666666666667,63.166666666666664,78.5,78.0,81.5,83.95833333333333,81.70833333333333,80.625,72.0,72.125,71.41666666666667,73.95833333333333,69.79166666666667,75.79166666666667,72.75,87.125,78.0,80.08333333333333,77.95833333333333,62.25,58.791666666666664,67.0,84.08333333333333,83.33333333333333,64.66666666666667,85.0,80.25,51.958333333333336,55.125,69.79166666666667,63.041666666666664
New York,54.857142857142854,47.15384615384615,52.0,55.8,50.785714285714285,62.8,92.46666666666667,79.5,44.3,59.333333333333336,49.3,42.0,60.8,68.0,60.2,57.15384615384615,46.06666666666667,44.0,38.8,64.25,59.1,53.714285714285715,76.76923076923077,53.07142857142857,37.30769230769231,38.142857142857146,75.53333333333333,41.6875,78.75,91.1,43.916666666666664,39.90909090909091,80.21428571428571
Ohio,64.375,66.83333333333333,58.791666666666664,51.291666666666664,72.91666666666667,97.5,99.04166666666667,76.625,81.66666666666667,68.16666666666667,65.20833333333333,75.5,89.875,66.16666666666667,68.95833333333333,75.73913043478261,61.666666666666664,53.125,44.041666666666664,74.16666666666667,89.58333333333333,80.91666666666667,72.625,72.375,84.54166666666667,72.29166666666667,85.75,90.91666666666667,99.5,88.20833333333333,75.04166666666667,72.04166666666667,85.25
Oklahoma,54.75,56.958333333333336,48.13636363636363,74.375,94.75,72.95833333333333,72.29166666666667,49.875,52.666666666666664,39.083333333333336,45.625,60.333333333333336,60.708333333333336,44.608695652173914,46.916666666666664,32.458333333333336,33.166666666666664,59.208333333333336,85.29166666666667,75.79166666666667,66.66666666666667,56.0,69.29166666666667,98.125,99.25,100.0,99.20833333333333,93.29166666666667,80.66666666666667,58.791666666666664,55.75,90.04166666666667,95.95833333333333
Oregon,57.75,69.83333333333333,72.70833333333333,74.16666666666667,76.54166666666667,78.16666666666667,73.08333333333333,76.625,78.66666666666667,81.41666666666667,87.95833333333333,73.95833333333333,73.83333333333333,67.83333333333333,73.04166666666667,79.04166666666667,88.16666666666667,88.0,80.91666666666667,71.0,66.45833333333333,67.33333333333333,73.75,86.58333333333333,69.16666666666667,54.458333333333336,53.166666666666664,67.625,69.0,68.66666666666667,66.75,69.0,70.20833333333333
Pennsylvania,37.25,39.791666666666664,34.25,37.041666666666664,39.333333333333336,64.25,86.41666666666667,60.583333333333336,41.458333333333336,41.375,39.75,44.708333333333336,78.0,47.583333333333336,42.416666666666664,62.916666666666664,51.916666666666664,42.916666666666664,32.208333333333336,41.333333333333336,56.375,61.791666666666664,64.04166666666667,29.833333333333332,56.375,34.375,66.91666666666667,49.583333333333336,79.91666666666667,77.66666666666667,45.916666666666664,38.791666666666664,75.83333333333333
Rhode Island,40.75,39.333333333333336,37.625,47.375,61.208333333333336,86.5,89.125,79.95833333333333,37.083333333333336,45.041666666666664,44.458333333333336,59.0,70.0,62.958333333333336,43.25,59.0,53.333333333333336,25.958333333333332,36.416666666666664,51.958333333333336,58.041666666666664,72.95833333333333,84.95833333333333,43.75,36.5,44.583333333333336,81.25,53.666666666666664,85.70833333333333,89.16666666666667,46.458333333333336,37.041666666666664,70.33333333333333
South Carolina,74.75,68.33333333333333,63.291666666666664,65.125,70.20833333333333,88.875,87.5,49.416666666666664,51.291666666666664,48.75,57.625,54.125,91.66666666666667,90.625,96.91666666666667,72.29166666666667,42.458333333333336,61.083333333333336,64.0,70.79166666666667,78.16666666666667,69.75,65.125,57.458333333333336,71.91666666666667,67.83333333333333,77.16666666666667,86.85714285714286,74.75,66.45833333333333,60.75,70.41666666666667,93.0
South Dakota,67.69565217391305,59.875,65.33333333333333,60.375,80.69565217391305,84.54166666666667,78.08333333333333,78.73913043478261,74.0,73.875,71.45833333333333,69.70833333333333,69.04166666666667,65.79166666666667,55.583333333333336,67.625,51.416666666666664,60.708333333333336,77.58333333333333,81.70833333333333,68.125,59.458333333333336,61.666666666666664,84.16666666666667,84.79166666666667,84.58333333333333,72.95833333333333,85.16666666666667,84.70833333333333,55.541666666666664,56.458333333333336,69.16666666666667,72.79166666666667
